Transition, Time (secs), Satisfiable
blue_transition__S07__a__S07__mediante_met_withdraw,2.901,true
blue_transition__S07__a__S12__mediante_met_withdraw,2.89,true
blue_transition__S00__a__S06__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S06__mediante_met_constructor,120.012,false
blue_transition__S00__a__S09__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S09__mediante_met_constructor,120.008,false
blue_transition__S02__a__S02__mediante_met_withdraw,3.981,true
blue_transition__S02__a__S06__mediante_met_withdraw,26.753,true
blue_transition__S12__a__S12__mediante_met_t,47.524,false
blue_transition__S09__a__S02__mediante_met_t,1.692,true
blue_transition__S09__a__S06__mediante_met_t,2.153,true
blue_transition__S09__a__S09__mediante_met_t,3.688,true
blue_transition__S02__a__S02__mediante_met_t,-1.0,false
blue_transition__S02__a__S02__mediante_met_t,120.012,false
blue_transition__S07__a__S07__mediante_met_t,-1.0,false
blue_transition__S07__a__S07__mediante_met_t,120.001,false
blue_transition__S02__a__S07__mediante_met_auctionEnd,5.869,true
blue_transition__S06__a__S12__mediante_met_auctionEnd,4.509,true
blue_transition__S06__a__S06__mediante_met_t,96.301,false
blue_transition__S09__a__S09__mediante_met_bid,59.761,true

