Transition, Time (secs), Satisfiable
transition__S00__a__S02__mediante_met_constructor,0.194,false
transition__S02__a__S02__mediante_met_bid,0.253,false
transition__S06__a__S02__mediante_met_bid,0.253,false
transition__S07__a__S02__mediante_met_bid,0.294,false
transition__S06__a__S06__mediante_met_bid,0.185,false
transition__S00__a__S06__mediante_met_constructor,0.293,true
transition__S02__a__S06__mediante_met_bid,0.278,false
transition__S07__a__S06__mediante_met_bid,0.278,false
transition__S00__a__S07__mediante_met_constructor,0.171,false
transition__S06__a__S07__mediante_met_bid,0.311,false
transition__S02__a__S07__mediante_met_bid,0.249,false
transition__S07__a__S07__mediante_met_bid,0.265,false
transition__S00__a__S09__mediante_met_constructor,0.285,true
transition__S06__a__S09__mediante_met_bid,0.285,false
transition__S02__a__S09__mediante_met_bid,0.253,false
transition__S07__a__S09__mediante_met_bid,0.238,false
transition__S00__a__S12__mediante_met_constructor,0.17,false
transition__S02__a__S12__mediante_met_bid,0.306,false
transition__S06__a__S12__mediante_met_bid,0.321,false
transition__S07__a__S12__mediante_met_bid,0.321,false
transition__S07__a__S02__mediante_met_withdraw,0.297,false
transition__S02__a__S02__mediante_met_withdraw,0.434,true
transition__S06__a__S02__mediante_met_withdraw,0.458,false
transition__S09__a__S02__mediante_met_bid,0.798,false
transition__S07__a__S06__mediante_met_withdraw,0.255,false
transition__S02__a__S06__mediante_met_withdraw,0.519,true
transition__S06__a__S06__mediante_met_withdraw,0.501,false
transition__S06__a__S07__mediante_met_withdraw,0.172,false
transition__S07__a__S07__mediante_met_withdraw,0.583,true
transition__S02__a__S07__mediante_met_withdraw,0.256,false
transition__S09__a__S06__mediante_met_bid,0.654,false
transition__S07__a__S09__mediante_met_withdraw,0.266,false
transition__S09__a__S07__mediante_met_bid,0.22,false
transition__S06__a__S09__mediante_met_withdraw,0.502,false
transition__S07__a__S12__mediante_met_withdraw,0.394,true
transition__S02__a__S09__mediante_met_withdraw,0.673,false
transition__S09__a__S09__mediante_met_bid,0.435,true
transition__S06__a__S12__mediante_met_withdraw,0.443,false
transition__S07__a__S02__mediante_met_auctionEnd,0.263,false
transition__S06__a__S02__mediante_met_auctionEnd,0.218,false
transition__S09__a__S12__mediante_met_bid,0.423,false
transition__S02__a__S12__mediante_met_withdraw,0.477,false
transition__S07__a__S06__mediante_met_auctionEnd,0.285,false
transition__S06__a__S06__mediante_met_auctionEnd,0.254,false
transition__S09__a__S02__mediante_met_withdraw,0.262,false
transition__S07__a__S07__mediante_met_auctionEnd,0.234,false
transition__S02__a__S02__mediante_met_auctionEnd,0.281,false
transition__S07__a__S09__mediante_met_auctionEnd,0.266,false
transition__S09__a__S06__mediante_met_withdraw,0.315,false
transition__S02__a__S06__mediante_met_auctionEnd,0.294,false
transition__S07__a__S12__mediante_met_auctionEnd,0.166,false
transition__S06__a__S07__mediante_met_auctionEnd,0.508,false
transition__S09__a__S07__mediante_met_withdraw,0.27,false
transition__S07__a__S02__mediante_met_t,0.257,false
transition__S06__a__S09__mediante_met_auctionEnd,0.304,false
transition__S09__a__S09__mediante_met_withdraw,0.253,false
transition__S02__a__S07__mediante_met_auctionEnd,0.536,true
transition__S07__a__S06__mediante_met_t,0.265,false
transition__S09__a__S12__mediante_met_withdraw,0.251,false
transition__S02__a__S09__mediante_met_auctionEnd,0.224,false
transition__S06__a__S12__mediante_met_auctionEnd,0.465,true
transition__S09__a__S02__mediante_met_auctionEnd,0.306,false
transition__S07__a__S07__mediante_met_t,0.428,true
transition__S02__a__S12__mediante_met_auctionEnd,0.49,false
transition__S06__a__S02__mediante_met_t,0.368,false
transition__S09__a__S06__mediante_met_auctionEnd,0.265,false
transition__S07__a__S09__mediante_met_t,0.262,false
transition__S09__a__S07__mediante_met_auctionEnd,0.195,false
transition__S02__a__S02__mediante_met_t,0.459,true
transition__S06__a__S06__mediante_met_t,0.505,true
transition__S09__a__S09__mediante_met_auctionEnd,0.288,false
transition__S07__a__S12__mediante_met_t,0.531,false
transition__S06__a__S07__mediante_met_t,0.222,false
transition__S09__a__S12__mediante_met_auctionEnd,0.25,false
transition__S12__a__S02__mediante_met_bid,0.285,false
transition__S02__a__S06__mediante_met_t,0.48,false
transition__S02__a__S07__mediante_met_t,0.237,false
transition__S09__a__S02__mediante_met_t,0.429,true
transition__S06__a__S09__mediante_met_t,0.498,false
transition__S12__a__S06__mediante_met_bid,0.315,false
transition__S12__a__S07__mediante_met_bid,0.283,false
transition__S06__a__S12__mediante_met_t,0.373,false
transition__S02__a__S09__mediante_met_t,0.531,false
transition__S09__a__S06__mediante_met_t,0.492,true
transition__S12__a__S09__mediante_met_bid,0.302,false
