Transition, Time (secs), Satisfiable
blue_transition__S06__a__S06__mediante_met_t,-1.0,false
blue_transition__S06__a__S06__mediante_met_t,120.0,false
blue_transition__S07__a__S07__mediante_met_withdraw,7.594,true
blue_transition__S07__a__S12__mediante_met_withdraw,46.185,true
blue_transition__S02__a__S02__mediante_met_t,-1.0,false
blue_transition__S02__a__S02__mediante_met_t,120.0,false
blue_transition__S00__a__S06__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S06__mediante_met_constructor,120.0,false
blue_transition__S00__a__S09__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S09__mediante_met_constructor,120.001,false
blue_transition__S02__a__S02__mediante_met_withdraw,8.632,true
blue_transition__S02__a__S06__mediante_met_withdraw,40.09,true
blue_transition__S06__a__S12__mediante_met_auctionEnd,-1.0,false
blue_transition__S06__a__S12__mediante_met_auctionEnd,120.002,false
blue_transition__S07__a__S07__mediante_met_t,-1.0,false
blue_transition__S07__a__S07__mediante_met_t,120.001,false
blue_transition__S09__a__S02__mediante_met_t,2.869,true
blue_transition__S09__a__S06__mediante_met_t,4.03,true
blue_transition__S09__a__S09__mediante_met_t,3.052,true
blue_transition__S02__a__S07__mediante_met_auctionEnd,-1.0,false
blue_transition__S02__a__S07__mediante_met_auctionEnd,120.001,false
blue_transition__S12__a__S12__mediante_met_t,80.903,false
blue_transition__S09__a__S09__mediante_met_bid,-1.0,false
blue_transition__S09__a__S09__mediante_met_bid,120.004,false

