Transition, Time (secs), Satisfiable
transition__S00__a__S02__mediante_met_constructor,0.502,false
transition__S07__a__S02__mediante_met_bid,0.6,false
transition__S02__a__S02__mediante_met_bid,0.634,false
transition__S06__a__S02__mediante_met_bid,0.683,false
transition__S06__a__S06__mediante_met_bid,0.449,false
transition__S02__a__S06__mediante_met_bid,0.453,false
transition__S07__a__S06__mediante_met_bid,0.684,false
transition__S00__a__S06__mediante_met_constructor,0.814,true
transition__S02__a__S07__mediante_met_bid,0.418,false
transition__S07__a__S07__mediante_met_bid,0.46,false
transition__S00__a__S07__mediante_met_constructor,0.565,false
transition__S06__a__S07__mediante_met_bid,0.868,false
transition__S02__a__S09__mediante_met_bid,0.475,false
transition__S07__a__S09__mediante_met_bid,0.45,false
transition__S00__a__S09__mediante_met_constructor,0.456,true
transition__S07__a__S12__mediante_met_bid,0.407,false
transition__S02__a__S12__mediante_met_bid,0.866,false
transition__S00__a__S12__mediante_met_constructor,0.596,false
transition__S06__a__S09__mediante_met_bid,0.931,false
transition__S07__a__S02__mediante_met_withdraw,0.749,false
transition__S02__a__S02__mediante_met_withdraw,0.806,true
transition__S06__a__S12__mediante_met_bid,0.807,false
transition__S07__a__S06__mediante_met_withdraw,0.467,false
transition__S07__a__S07__mediante_met_withdraw,0.739,true
transition__S09__a__S02__mediante_met_bid,2.132,false
transition__S06__a__S02__mediante_met_withdraw,1.44,false
transition__S02__a__S06__mediante_met_withdraw,1.754,true
transition__S07__a__S09__mediante_met_withdraw,1.033,false
transition__S02__a__S07__mediante_met_withdraw,0.545,false
transition__S06__a__S06__mediante_met_withdraw,0.975,false
transition__S09__a__S06__mediante_met_bid,1.36,false
transition__S07__a__S12__mediante_met_withdraw,0.902,true
transition__S06__a__S07__mediante_met_withdraw,0.604,false
transition__S07__a__S02__mediante_met_auctionEnd,0.538,false
transition__S02__a__S09__mediante_met_withdraw,1.144,false
transition__S09__a__S07__mediante_met_bid,0.768,false
transition__S06__a__S09__mediante_met_withdraw,0.91,false
transition__S07__a__S06__mediante_met_auctionEnd,0.756,false
transition__S02__a__S12__mediante_met_withdraw,0.8,false
transition__S09__a__S09__mediante_met_bid,1.001,true
transition__S07__a__S07__mediante_met_auctionEnd,0.577,false
transition__S06__a__S12__mediante_met_withdraw,0.945,false
transition__S02__a__S02__mediante_met_auctionEnd,0.852,false
transition__S09__a__S12__mediante_met_bid,0.626,false
transition__S07__a__S09__mediante_met_auctionEnd,0.528,false
transition__S02__a__S06__mediante_met_auctionEnd,0.415,false
transition__S06__a__S02__mediante_met_auctionEnd,0.875,false
transition__S07__a__S12__mediante_met_auctionEnd,0.857,false
transition__S09__a__S02__mediante_met_withdraw,0.893,false
transition__S02__a__S07__mediante_met_auctionEnd,0.815,true
transition__S06__a__S06__mediante_met_auctionEnd,0.565,false
transition__S09__a__S06__mediante_met_withdraw,0.521,false
