Transition, Time (secs), Satisfiable
blue_transition__S05__a__S01__mediante_met_rescindOffer,0.089,true
blue_transition__S05__a__S06__mediante_met_markInspected,0.097,true
blue_transition__S01__a__S01__mediante_met_modify,0.583,true
blue_transition__S08__a__S01__mediante_met_reject,0.085,true
blue_transition__S02__a__S10__mediante_met_terminate,0.098,true
blue_transition__S08__a__S09__mediante_met_accept,0.089,true
blue_transition__S03__a__S01__mediante_met_rescindOffer,0.095,true
blue_transition__S05__a__S01__mediante_met_reject,0.078,true
blue_transition__S03__a__S01__mediante_met_reject,0.093,true
blue_transition__S04__a__S01__mediante_met_rescindOffer,0.078,true
blue_transition__S06__a__S07__mediante_met_accept,0.108,true
blue_transition__S06__a__S08__mediante_met_accept,0.107,true
blue_transition__S03__a__S05__mediante_met_markAppraised,0.244,false
blue_transition__S02__a__S01__mediante_met_rescindOffer,0.074,true
blue_transition__S00__a__S01__mediante_met_constructor,0.527,true
blue_transition__S04__a__S06__mediante_met_markAppraised,0.193,false
blue_transition__S02__a__S03__mediante_met_acceptOffer,0.11,true
blue_transition__S02__a__S02__mediante_met_modifyOffer,468.022,false
blue_transition__S05__a__S10__mediante_met_terminate,0.101,true
blue_transition__S03__a__S04__mediante_met_markInspected,0.062,true
blue_transition__S01__a__S02__mediante_met_makeOffer,4.306,true
blue_transition__S06__a__S01__mediante_met_rescindOffer,0.064,true
blue_transition__S07__a__S09__mediante_met_accept,0.072,true
blue_transition__S06__a__S10__mediante_met_terminate,0.079,true
blue_transition__S06__a__S01__mediante_met_reject,0.072,true
blue_transition__S01__a__S10__mediante_met_terminate,0.083,true
blue_transition__S04__a__S01__mediante_met_reject,0.097,true
blue_transition__S07__a__S01__mediante_met_rescindOffer,0.067,true
blue_transition__S02__a__S01__mediante_met_reject,0.096,true
blue_transition__S03__a__S10__mediante_met_terminate,0.08,true
blue_transition__S08__a__S10__mediante_met_terminate,0.081,true
blue_transition__S04__a__S10__mediante_met_terminate,0.078,true

