Transition, Time (secs), Satisfiable
transition__S10__a__S01__mediante_met_terminate,0.062,false
transition__S00__a__S01__mediante_met_constructor,0.076,true
transition__S10__a__S02__mediante_met_terminate,0.072,false
transition__S00__a__S02__mediante_met_constructor,0.048,false
transition__S10__a__S03__mediante_met_terminate,0.04,false
transition__S10__a__S04__mediante_met_terminate,0.047,false
transition__S00__a__S03__mediante_met_constructor,0.094,false
transition__S10__a__S05__mediante_met_terminate,0.045,false
transition__S00__a__S04__mediante_met_constructor,0.055,false
transition__S10__a__S06__mediante_met_terminate,0.061,false
transition__S00__a__S05__mediante_met_constructor,0.03,false
transition__S05__a__S01__mediante_met_terminate,0.055,false
transition__S10__a__S07__mediante_met_terminate,0.043,false
transition__S00__a__S06__mediante_met_constructor,0.076,false
transition__S05__a__S02__mediante_met_terminate,0.088,false
transition__S10__a__S08__mediante_met_terminate,0.049,false
transition__S00__a__S07__mediante_met_constructor,0.048,false
transition__S05__a__S03__mediante_met_terminate,0.043,false
transition__S00__a__S08__mediante_met_constructor,0.015,false
transition__S10__a__S09__mediante_met_terminate,0.053,false
transition__S05__a__S04__mediante_met_terminate,0.017,false
transition__S05__a__S05__mediante_met_terminate,0.018,false
transition__S00__a__S09__mediante_met_constructor,0.056,false
transition__S10__a__S10__mediante_met_terminate,0.057,false
transition__S05__a__S06__mediante_met_terminate,0.034,false
transition__S05__a__S07__mediante_met_terminate,0.035,false
transition__S00__a__S10__mediante_met_constructor,0.057,false
transition__S10__a__S01__mediante_met_modify,0.063,false
transition__S05__a__S08__mediante_met_terminate,0.026,false
transition__S05__a__S09__mediante_met_terminate,0.029,false
transition__S01__a__S01__mediante_met_terminate,0.059,false
transition__S10__a__S02__mediante_met_modify,0.052,false
transition__S05__a__S10__mediante_met_terminate,0.04,true
transition__S01__a__S02__mediante_met_terminate,0.063,false
transition__S10__a__S03__mediante_met_modify,0.063,false
transition__S06__a__S01__mediante_met_terminate,0.049,false
transition__S06__a__S02__mediante_met_terminate,0.05,false
transition__S10__a__S04__mediante_met_modify,0.059,false
transition__S01__a__S03__mediante_met_terminate,0.06,false
transition__S10__a__S05__mediante_met_modify,0.051,false
transition__S01__a__S04__mediante_met_terminate,0.063,false
transition__S06__a__S03__mediante_met_terminate,0.072,false
transition__S01__a__S05__mediante_met_terminate,0.044,false
transition__S10__a__S06__mediante_met_modify,0.065,false
transition__S06__a__S04__mediante_met_terminate,0.082,false
transition__S01__a__S06__mediante_met_terminate,0.048,false
transition__S10__a__S07__mediante_met_modify,0.043,false
transition__S01__a__S07__mediante_met_terminate,0.051,false
transition__S10__a__S08__mediante_met_modify,0.051,false
transition__S06__a__S05__mediante_met_terminate,0.069,false
transition__S01__a__S08__mediante_met_terminate,0.052,false
transition__S10__a__S09__mediante_met_modify,0.06,false
transition__S06__a__S06__mediante_met_terminate,0.055,false
transition__S01__a__S09__mediante_met_terminate,0.06,false
transition__S10__a__S10__mediante_met_modify,0.067,false
transition__S06__a__S07__mediante_met_terminate,0.066,false
transition__S06__a__S08__mediante_met_terminate,0.055,false
transition__S01__a__S10__mediante_met_terminate,0.081,true
transition__S10__a__S01__mediante_met_makeOffer,0.097,false
transition__S06__a__S09__mediante_met_terminate,0.06,false
transition__S10__a__S02__mediante_met_makeOffer,0.043,false
transition__S02__a__S01__mediante_met_terminate,0.077,false
transition__S06__a__S10__mediante_met_terminate,0.053,true
transition__S02__a__S02__mediante_met_terminate,0.068,false
transition__S07__a__S01__mediante_met_terminate,0.041,false
transition__S10__a__S03__mediante_met_makeOffer,0.076,false
transition__S10__a__S04__mediante_met_makeOffer,0.016,false
transition__S02__a__S03__mediante_met_terminate,0.062,false
transition__S07__a__S02__mediante_met_terminate,0.06,false
transition__S10__a__S05__mediante_met_makeOffer,0.054,false
transition__S02__a__S04__mediante_met_terminate,0.06,false
transition__S07__a__S03__mediante_met_terminate,0.094,false
transition__S10__a__S06__mediante_met_makeOffer,0.098,false
transition__S02__a__S05__mediante_met_terminate,0.055,false
transition__S10__a__S07__mediante_met_makeOffer,0.052,false
transition__S07__a__S04__mediante_met_terminate,0.077,false
transition__S02__a__S06__mediante_met_terminate,0.063,false
transition__S07__a__S05__mediante_met_terminate,0.058,false
transition__S10__a__S08__mediante_met_makeOffer,0.07,false
transition__S02__a__S07__mediante_met_terminate,0.104,false
transition__S10__a__S09__mediante_met_makeOffer,0.059,false
transition__S07__a__S06__mediante_met_terminate,0.063,false
transition__S02__a__S08__mediante_met_terminate,0.072,false
transition__S10__a__S10__mediante_met_makeOffer,0.063,false
transition__S07__a__S07__mediante_met_terminate,0.068,false
transition__S02__a__S09__mediante_met_terminate,0.055,false
transition__S10__a__S01__mediante_met_acceptOffer,0.068,false
transition__S07__a__S08__mediante_met_terminate,0.073,false
transition__S10__a__S02__mediante_met_acceptOffer,0.033,false
transition__S02__a__S10__mediante_met_terminate,0.068,true
transition__S07__a__S09__mediante_met_terminate,0.071,false
transition__S10__a__S03__mediante_met_acceptOffer,0.05,false
transition__S03__a__S01__mediante_met_terminate,0.044,false
transition__S03__a__S02__mediante_met_terminate,0.038,false
transition__S07__a__S10__mediante_met_terminate,0.064,false
transition__S10__a__S04__mediante_met_acceptOffer,0.075,false
transition__S03__a__S03__mediante_met_terminate,0.043,false
transition__S08__a__S01__mediante_met_terminate,0.094,false
transition__S10__a__S05__mediante_met_acceptOffer,0.083,false
transition__S03__a__S04__mediante_met_terminate,0.069,false
transition__S08__a__S02__mediante_met_terminate,0.045,false
transition__S10__a__S06__mediante_met_acceptOffer,0.054,false
transition__S03__a__S05__mediante_met_terminate,0.059,false
transition__S08__a__S03__mediante_met_terminate,0.037,false
transition__S10__a__S07__mediante_met_acceptOffer,0.068,false
transition__S03__a__S06__mediante_met_terminate,0.073,false
transition__S08__a__S04__mediante_met_terminate,0.059,false
transition__S10__a__S08__mediante_met_acceptOffer,0.017,false
transition__S03__a__S07__mediante_met_terminate,0.02,false
transition__S03__a__S08__mediante_met_terminate,0.019,false
transition__S08__a__S05__mediante_met_terminate,0.08,false
transition__S10__a__S09__mediante_met_acceptOffer,0.086,false
transition__S03__a__S09__mediante_met_terminate,0.049,false
transition__S03__a__S10__mediante_met_terminate,0.032,true
transition__S10__a__S10__mediante_met_acceptOffer,0.05,false
transition__S08__a__S06__mediante_met_terminate,0.057,false
transition__S10__a__S01__mediante_met_reject,0.03,false
transition__S08__a__S07__mediante_met_terminate,0.064,false
transition__S04__a__S01__mediante_met_terminate,0.098,false
transition__S10__a__S02__mediante_met_reject,0.052,false
transition__S10__a__S03__mediante_met_reject,0.031,false
transition__S08__a__S08__mediante_met_terminate,0.067,false
transition__S04__a__S02__mediante_met_terminate,0.051,false
transition__S10__a__S04__mediante_met_reject,0.06,false
transition__S08__a__S09__mediante_met_terminate,0.045,false
transition__S04__a__S03__mediante_met_terminate,0.06,false
transition__S10__a__S05__mediante_met_reject,0.051,false
transition__S08__a__S10__mediante_met_terminate,0.06,true
transition__S04__a__S04__mediante_met_terminate,0.082,false
transition__S10__a__S06__mediante_met_reject,0.061,false
transition__S09__a__S01__mediante_met_terminate,0.054,false
transition__S09__a__S02__mediante_met_terminate,0.049,false
transition__S04__a__S05__mediante_met_terminate,0.068,false
transition__S10__a__S07__mediante_met_reject,0.106,false
transition__S09__a__S03__mediante_met_terminate,0.06,false
transition__S04__a__S06__mediante_met_terminate,0.064,false
transition__S09__a__S04__mediante_met_terminate,0.037,false
transition__S10__a__S08__mediante_met_reject,0.059,false
transition__S04__a__S07__mediante_met_terminate,0.06,false
transition__S09__a__S05__mediante_met_terminate,0.053,false
transition__S04__a__S08__mediante_met_terminate,0.046,false
transition__S10__a__S09__mediante_met_reject,0.063,false
transition__S09__a__S06__mediante_met_terminate,0.029,false
transition__S10__a__S10__mediante_met_reject,0.052,false
transition__S04__a__S09__mediante_met_terminate,0.054,false
transition__S09__a__S07__mediante_met_terminate,0.058,false
transition__S10__a__S01__mediante_met_accept,0.046,false
transition__S09__a__S08__mediante_met_terminate,0.054,false
transition__S04__a__S10__mediante_met_terminate,0.073,true
transition__S10__a__S02__mediante_met_accept,0.065,false
transition__S09__a__S09__mediante_met_terminate,0.058,false
transition__S01__a__S01__mediante_met_modify,0.056,true
transition__S10__a__S03__mediante_met_accept,0.026,false
transition__S10__a__S04__mediante_met_accept,0.018,false
transition__S09__a__S10__mediante_met_terminate,0.065,false
transition__S01__a__S02__mediante_met_modify,0.068,false
transition__S10__a__S05__mediante_met_accept,0.048,false
transition__S05__a__S01__mediante_met_modify,0.056,false
transition__S10__a__S06__mediante_met_accept,0.042,false
transition__S01__a__S03__mediante_met_modify,0.064,false
transition__S05__a__S02__mediante_met_modify,0.05,false
transition__S10__a__S07__mediante_met_accept,0.051,false
transition__S01__a__S04__mediante_met_modify,0.078,false
transition__S05__a__S03__mediante_met_modify,0.049,false
transition__S10__a__S08__mediante_met_accept,0.049,false
transition__S10__a__S09__mediante_met_accept,0.046,false
transition__S01__a__S05__mediante_met_modify,0.06,false
transition__S05__a__S04__mediante_met_modify,0.08,false
transition__S01__a__S06__mediante_met_modify,0.029,false
transition__S10__a__S10__mediante_met_accept,0.039,false
transition__S05__a__S05__mediante_met_modify,0.058,false
transition__S01__a__S07__mediante_met_modify,0.05,false
transition__S10__a__S01__mediante_met_modifyOffer,0.061,false
transition__S05__a__S06__mediante_met_modify,0.049,false
transition__S01__a__S08__mediante_met_modify,0.049,false
transition__S10__a__S02__mediante_met_modifyOffer,0.042,false
transition__S05__a__S07__mediante_met_modify,0.044,false
transition__S01__a__S09__mediante_met_modify,0.08,false
transition__S10__a__S03__mediante_met_modifyOffer,0.077,false
transition__S05__a__S08__mediante_met_modify,0.041,false
transition__S10__a__S04__mediante_met_modifyOffer,0.063,false
transition__S01__a__S10__mediante_met_modify,0.077,false
transition__S05__a__S09__mediante_met_modify,0.083,false
transition__S10__a__S05__mediante_met_modifyOffer,0.053,false
transition__S02__a__S01__mediante_met_modify,0.059,false
transition__S05__a__S10__mediante_met_modify,0.065,false
transition__S10__a__S06__mediante_met_modifyOffer,0.055,false
transition__S02__a__S02__mediante_met_modify,0.052,false
transition__S06__a__S01__mediante_met_modify,0.068,false
transition__S10__a__S07__mediante_met_modifyOffer,0.049,false
transition__S02__a__S03__mediante_met_modify,0.096,false
transition__S06__a__S02__mediante_met_modify,0.066,false
transition__S10__a__S08__mediante_met_modifyOffer,0.108,false
transition__S02__a__S04__mediante_met_modify,0.061,false
transition__S06__a__S03__mediante_met_modify,0.094,false
transition__S10__a__S09__mediante_met_modifyOffer,0.052,false
transition__S02__a__S05__mediante_met_modify,0.057,false
transition__S06__a__S04__mediante_met_modify,0.05,false
transition__S02__a__S06__mediante_met_modify,0.046,false
transition__S10__a__S10__mediante_met_modifyOffer,0.068,false
transition__S06__a__S05__mediante_met_modify,0.051,false
transition__S02__a__S07__mediante_met_modify,0.051,false
transition__S10__a__S01__mediante_met_rescindOffer,0.063,false
transition__S06__a__S06__mediante_met_modify,0.035,false
transition__S02__a__S08__mediante_met_modify,0.046,false
transition__S10__a__S02__mediante_met_rescindOffer,0.047,false
transition__S06__a__S07__mediante_met_modify,0.045,false
transition__S02__a__S09__mediante_met_modify,0.024,false
transition__S10__a__S03__mediante_met_rescindOffer,0.034,false
transition__S06__a__S08__mediante_met_modify,0.079,false
transition__S02__a__S10__mediante_met_modify,0.078,false
transition__S10__a__S04__mediante_met_rescindOffer,0.052,false
transition__S06__a__S09__mediante_met_modify,0.045,false
transition__S03__a__S01__mediante_met_modify,0.062,false
transition__S10__a__S05__mediante_met_rescindOffer,0.062,false
transition__S06__a__S10__mediante_met_modify,0.032,false
transition__S10__a__S06__mediante_met_rescindOffer,0.051,false
transition__S03__a__S02__mediante_met_modify,0.055,false
transition__S07__a__S01__mediante_met_modify,0.05,false
transition__S07__a__S02__mediante_met_modify,0.055,false
transition__S10__a__S07__mediante_met_rescindOffer,0.072,false
transition__S03__a__S03__mediante_met_modify,0.071,false
transition__S07__a__S03__mediante_met_modify,0.058,false
transition__S10__a__S08__mediante_met_rescindOffer,0.07,false
transition__S03__a__S04__mediante_met_modify,0.073,false
transition__S07__a__S04__mediante_met_modify,0.087,false
transition__S10__a__S09__mediante_met_rescindOffer,0.075,false
transition__S03__a__S05__mediante_met_modify,0.078,false
transition__S07__a__S05__mediante_met_modify,0.076,false
transition__S10__a__S10__mediante_met_rescindOffer,0.106,false
transition__S03__a__S06__mediante_met_modify,0.107,false
transition__S07__a__S06__mediante_met_modify,0.063,false
transition__S10__a__S01__mediante_met_markAppraised,0.076,false
transition__S03__a__S07__mediante_met_modify,0.077,false
transition__S03__a__S08__mediante_met_modify,0.052,false
transition__S10__a__S02__mediante_met_markAppraised,0.062,false
transition__S07__a__S07__mediante_met_modify,0.114,false
transition__S07__a__S08__mediante_met_modify,0.016,false
transition__S03__a__S09__mediante_met_modify,0.065,false
transition__S10__a__S03__mediante_met_markAppraised,0.062,false
transition__S07__a__S09__mediante_met_modify,0.05,false
transition__S07__a__S10__mediante_met_modify,0.041,false
transition__S03__a__S10__mediante_met_modify,0.06,false
transition__S10__a__S04__mediante_met_markAppraised,0.067,false
transition__S04__a__S01__mediante_met_modify,0.057,false
transition__S10__a__S05__mediante_met_markAppraised,0.055,false
transition__S08__a__S01__mediante_met_modify,0.075,false
transition__S04__a__S02__mediante_met_modify,0.043,false
transition__S08__a__S02__mediante_met_modify,0.054,false
transition__S10__a__S06__mediante_met_markAppraised,0.064,false
transition__S04__a__S03__mediante_met_modify,0.068,false
transition__S08__a__S03__mediante_met_modify,0.063,false
transition__S10__a__S07__mediante_met_markAppraised,0.059,false
transition__S04__a__S04__mediante_met_modify,0.066,false
transition__S08__a__S04__mediante_met_modify,0.065,false
transition__S10__a__S08__mediante_met_markAppraised,0.068,false
transition__S04__a__S05__mediante_met_modify,0.063,false
transition__S08__a__S05__mediante_met_modify,0.065,false
transition__S10__a__S09__mediante_met_markAppraised,0.077,false
transition__S04__a__S06__mediante_met_modify,0.052,false
transition__S08__a__S06__mediante_met_modify,0.073,false
transition__S10__a__S10__mediante_met_markAppraised,0.067,false
transition__S04__a__S07__mediante_met_modify,0.051,false
transition__S08__a__S07__mediante_met_modify,0.048,false
transition__S10__a__S01__mediante_met_markInspected,0.053,false
transition__S04__a__S08__mediante_met_modify,0.053,false
transition__S08__a__S08__mediante_met_modify,0.067,false
transition__S10__a__S02__mediante_met_markInspected,0.052,false
transition__S04__a__S09__mediante_met_modify,0.064,false
transition__S08__a__S09__mediante_met_modify,0.07,false
transition__S10__a__S03__mediante_met_markInspected,0.068,false
transition__S04__a__S10__mediante_met_modify,0.061,false
transition__S08__a__S10__mediante_met_modify,0.057,false
transition__S01__a__S01__mediante_met_makeOffer,0.05,false
transition__S10__a__S04__mediante_met_markInspected,0.066,false
transition__S09__a__S01__mediante_met_modify,0.038,false
transition__S01__a__S02__mediante_met_makeOffer,0.063,true
transition__S01__a__S03__mediante_met_makeOffer,0.028,false
transition__S09__a__S02__mediante_met_modify,0.059,false
transition__S10__a__S05__mediante_met_markInspected,0.091,false
transition__S10__a__S06__mediante_met_markInspected,0.036,false
transition__S01__a__S04__mediante_met_makeOffer,0.055,false
transition__S09__a__S03__mediante_met_modify,0.07,false
transition__S10__a__S07__mediante_met_markInspected,0.049,false
transition__S01__a__S05__mediante_met_makeOffer,0.064,false
transition__S09__a__S04__mediante_met_modify,0.062,false
transition__S10__a__S08__mediante_met_markInspected,0.051,false
transition__S01__a__S06__mediante_met_makeOffer,0.046,false
transition__S09__a__S05__mediante_met_modify,0.051,false
transition__S10__a__S09__mediante_met_markInspected,0.051,false
transition__S01__a__S07__mediante_met_makeOffer,0.039,false
transition__S09__a__S06__mediante_met_modify,0.063,false
transition__S10__a__S10__mediante_met_markInspected,0.063,false
transition__S01__a__S08__mediante_met_makeOffer,0.058,false
transition__S09__a__S07__mediante_met_modify,0.042,false
transition__S01__a__S09__mediante_met_makeOffer,0.051,false
transition__S09__a__S08__mediante_met_modify,0.03,false
transition__S01__a__S10__mediante_met_makeOffer,0.058,false
transition__S09__a__S09__mediante_met_modify,0.062,false
transition__S02__a__S01__mediante_met_makeOffer,0.057,false
transition__S09__a__S10__mediante_met_modify,0.068,false
transition__S02__a__S02__mediante_met_makeOffer,0.069,false
transition__S05__a__S01__mediante_met_makeOffer,0.063,false
transition__S02__a__S03__mediante_met_makeOffer,0.05,false
transition__S05__a__S02__mediante_met_makeOffer,0.051,false
transition__S02__a__S04__mediante_met_makeOffer,0.054,false
transition__S05__a__S03__mediante_met_makeOffer,0.047,false
transition__S02__a__S05__mediante_met_makeOffer,0.046,false
transition__S05__a__S04__mediante_met_makeOffer,0.048,false
transition__S02__a__S06__mediante_met_makeOffer,0.058,false
transition__S05__a__S05__mediante_met_makeOffer,0.063,false
transition__S02__a__S07__mediante_met_makeOffer,0.049,false
transition__S05__a__S06__mediante_met_makeOffer,0.05,false
transition__S02__a__S08__mediante_met_makeOffer,0.066,false
transition__S05__a__S07__mediante_met_makeOffer,0.055,false
transition__S02__a__S09__mediante_met_makeOffer,0.021,false
transition__S02__a__S10__mediante_met_makeOffer,0.053,false
transition__S05__a__S08__mediante_met_makeOffer,0.071,false
transition__S03__a__S01__mediante_met_makeOffer,0.047,false
transition__S05__a__S09__mediante_met_makeOffer,0.065,false
transition__S03__a__S02__mediante_met_makeOffer,0.066,false
transition__S05__a__S10__mediante_met_makeOffer,0.048,false
transition__S03__a__S03__mediante_met_makeOffer,0.032,false
transition__S06__a__S01__mediante_met_makeOffer,0.048,false
transition__S03__a__S04__mediante_met_makeOffer,0.052,false
transition__S06__a__S02__mediante_met_makeOffer,0.077,false
transition__S03__a__S05__mediante_met_makeOffer,0.044,false
transition__S06__a__S03__mediante_met_makeOffer,0.036,false
transition__S03__a__S06__mediante_met_makeOffer,0.075,false
transition__S06__a__S04__mediante_met_makeOffer,0.079,false
transition__S03__a__S07__mediante_met_makeOffer,0.045,false
transition__S06__a__S05__mediante_met_makeOffer,0.041,false
transition__S03__a__S08__mediante_met_makeOffer,0.09,false
transition__S06__a__S06__mediante_met_makeOffer,0.075,false
transition__S03__a__S09__mediante_met_makeOffer,0.035,false
transition__S06__a__S07__mediante_met_makeOffer,0.047,false
transition__S03__a__S10__mediante_met_makeOffer,0.074,false
transition__S06__a__S08__mediante_met_makeOffer,0.051,false
transition__S04__a__S01__mediante_met_makeOffer,0.038,false
transition__S06__a__S09__mediante_met_makeOffer,0.042,false
transition__S04__a__S02__mediante_met_makeOffer,0.044,false
transition__S06__a__S10__mediante_met_makeOffer,0.04,false
transition__S04__a__S03__mediante_met_makeOffer,0.018,false
transition__S07__a__S01__mediante_met_makeOffer,0.03,false
transition__S07__a__S02__mediante_met_makeOffer,0.075,false
transition__S04__a__S04__mediante_met_makeOffer,0.095,false
transition__S07__a__S03__mediante_met_makeOffer,0.052,false
transition__S07__a__S04__mediante_met_makeOffer,0.04,false
transition__S04__a__S05__mediante_met_makeOffer,0.105,false
transition__S07__a__S05__mediante_met_makeOffer,0.057,false
transition__S04__a__S06__mediante_met_makeOffer,0.058,false
transition__S07__a__S06__mediante_met_makeOffer,0.056,false
transition__S04__a__S07__mediante_met_makeOffer,0.06,false
transition__S07__a__S07__mediante_met_makeOffer,0.064,false
transition__S04__a__S08__mediante_met_makeOffer,0.052,false
transition__S07__a__S08__mediante_met_makeOffer,0.049,false
transition__S04__a__S09__mediante_met_makeOffer,0.049,false
transition__S07__a__S09__mediante_met_makeOffer,0.058,false
transition__S04__a__S10__mediante_met_makeOffer,0.062,false
transition__S07__a__S10__mediante_met_makeOffer,0.043,false
transition__S01__a__S01__mediante_met_acceptOffer,0.05,false
transition__S08__a__S01__mediante_met_makeOffer,0.059,false
transition__S01__a__S02__mediante_met_acceptOffer,0.048,false
transition__S08__a__S02__mediante_met_makeOffer,0.051,false
transition__S01__a__S03__mediante_met_acceptOffer,0.049,false
transition__S08__a__S03__mediante_met_makeOffer,0.054,false
transition__S01__a__S04__mediante_met_acceptOffer,0.055,false
transition__S08__a__S04__mediante_met_makeOffer,0.043,false
transition__S01__a__S05__mediante_met_acceptOffer,0.055,false
transition__S08__a__S05__mediante_met_makeOffer,0.054,false
transition__S01__a__S06__mediante_met_acceptOffer,0.047,false
transition__S08__a__S06__mediante_met_makeOffer,0.049,false
transition__S01__a__S07__mediante_met_acceptOffer,0.05,false
transition__S08__a__S07__mediante_met_makeOffer,0.061,false
transition__S01__a__S08__mediante_met_acceptOffer,0.061,false
transition__S08__a__S08__mediante_met_makeOffer,0.045,false
transition__S01__a__S09__mediante_met_acceptOffer,0.05,false
transition__S08__a__S09__mediante_met_makeOffer,0.077,false
transition__S01__a__S10__mediante_met_acceptOffer,0.066,false
transition__S08__a__S10__mediante_met_makeOffer,0.018,false
transition__S02__a__S01__mediante_met_acceptOffer,0.049,false
transition__S09__a__S01__mediante_met_makeOffer,0.043,false
transition__S09__a__S02__mediante_met_makeOffer,0.034,false
transition__S02__a__S02__mediante_met_acceptOffer,0.053,false
transition__S02__a__S03__mediante_met_acceptOffer,0.051,true
transition__S09__a__S03__mediante_met_makeOffer,0.071,false
transition__S02__a__S04__mediante_met_acceptOffer,0.047,false
transition__S09__a__S04__mediante_met_makeOffer,0.074,false
transition__S02__a__S05__mediante_met_acceptOffer,0.074,false
transition__S09__a__S05__mediante_met_makeOffer,0.041,false
transition__S02__a__S06__mediante_met_acceptOffer,0.038,false
transition__S09__a__S06__mediante_met_makeOffer,0.054,false
transition__S02__a__S07__mediante_met_acceptOffer,0.055,false
transition__S09__a__S07__mediante_met_makeOffer,0.044,false
transition__S02__a__S08__mediante_met_acceptOffer,0.056,false
transition__S09__a__S08__mediante_met_makeOffer,0.099,false
transition__S02__a__S09__mediante_met_acceptOffer,0.065,false
transition__S09__a__S09__mediante_met_makeOffer,0.045,false
transition__S02__a__S10__mediante_met_acceptOffer,0.047,false
transition__S09__a__S10__mediante_met_makeOffer,0.037,false
transition__S03__a__S01__mediante_met_acceptOffer,0.069,false
transition__S05__a__S01__mediante_met_acceptOffer,0.058,false
