Transition, Time (secs), Satisfiable
blue_transition__S08__a__S10__mediante_met_terminate,0.097,true
blue_transition__S03__a__S01__mediante_met_rescindOffer,0.096,true
blue_transition__S04__a__S06__mediante_met_markAppraised,0.099,true
blue_transition__S03__a__S05__mediante_met_markAppraised,0.135,true
blue_transition__S05__a__S10__mediante_met_terminate,0.055,true
blue_transition__S06__a__S01__mediante_met_reject,0.075,true
blue_transition__S02__a__S03__mediante_met_acceptOffer,0.081,true
blue_transition__S01__a__S02__mediante_met_makeOffer,4.23,true
blue_transition__S03__a__S10__mediante_met_terminate,0.05,true
blue_transition__S05__a__S01__mediante_met_reject,0.097,true
blue_transition__S03__a__S01__mediante_met_reject,0.076,true
blue_transition__S06__a__S07__mediante_met_accept,0.059,true
blue_transition__S06__a__S08__mediante_met_accept,0.052,true
blue_transition__S02__a__S01__mediante_met_rescindOffer,0.099,true
blue_transition__S06__a__S10__mediante_met_terminate,0.078,true
blue_transition__S03__a__S04__mediante_met_markInspected,0.182,false
blue_transition__S08__a__S09__mediante_met_accept,0.083,true
blue_transition__S04__a__S01__mediante_met_reject,0.09,true
blue_transition__S01__a__S01__mediante_met_modify,0.458,true
blue_transition__S07__a__S01__mediante_met_rescindOffer,0.072,true
blue_transition__S06__a__S01__mediante_met_rescindOffer,0.07,true
blue_transition__S02__a__S10__mediante_met_terminate,0.079,true
blue_transition__S07__a__S09__mediante_met_accept,0.076,true
blue_transition__S02__a__S01__mediante_met_reject,0.1,true
blue_transition__S05__a__S06__mediante_met_markInspected,0.203,false
blue_transition__S04__a__S10__mediante_met_terminate,0.087,true
blue_transition__S04__a__S01__mediante_met_rescindOffer,0.075,true
blue_transition__S00__a__S01__mediante_met_constructor,0.443,true
blue_transition__S08__a__S01__mediante_met_reject,0.064,true
blue_transition__S01__a__S10__mediante_met_terminate,0.059,true
blue_transition__S02__a__S02__mediante_met_modifyOffer,413.519,false
blue_transition__S05__a__S01__mediante_met_rescindOffer,0.031,true

