Transition, Time (secs), Satisfiable
transition__S10__a__S01__mediante_met_terminate,0.049,false
transition__S10__a__S02__mediante_met_terminate,0.089,false
transition__S10__a__S03__mediante_met_terminate,0.092,false
transition__S00__a__S01__mediante_met_constructor,0.045,true
transition__S10__a__S04__mediante_met_terminate,0.039,false
transition__S00__a__S02__mediante_met_constructor,0.078,false
transition__S10__a__S05__mediante_met_terminate,0.051,false
transition__S10__a__S06__mediante_met_terminate,0.053,false
transition__S00__a__S03__mediante_met_constructor,0.064,false
transition__S05__a__S01__mediante_met_terminate,0.061,false
transition__S10__a__S07__mediante_met_terminate,0.069,false
transition__S00__a__S04__mediante_met_constructor,0.061,false
transition__S05__a__S02__mediante_met_terminate,0.047,false
transition__S00__a__S05__mediante_met_constructor,0.047,false
transition__S10__a__S08__mediante_met_terminate,0.065,false
transition__S05__a__S03__mediante_met_terminate,0.05,false
transition__S00__a__S06__mediante_met_constructor,0.039,false
transition__S10__a__S09__mediante_met_terminate,0.033,false
transition__S05__a__S04__mediante_met_terminate,0.046,false
transition__S00__a__S07__mediante_met_constructor,0.055,false
transition__S10__a__S10__mediante_met_terminate,0.063,false
transition__S05__a__S05__mediante_met_terminate,0.036,false
transition__S00__a__S08__mediante_met_constructor,0.033,false
transition__S05__a__S06__mediante_met_terminate,0.033,false
transition__S10__a__S01__mediante_met_modify,0.055,false
transition__S00__a__S09__mediante_met_constructor,0.047,false
transition__S05__a__S07__mediante_met_terminate,0.028,false
transition__S10__a__S02__mediante_met_modify,0.07,false
transition__S05__a__S08__mediante_met_terminate,0.062,false
transition__S00__a__S10__mediante_met_constructor,0.073,false
transition__S10__a__S03__mediante_met_modify,0.041,false
transition__S05__a__S09__mediante_met_terminate,0.052,false
transition__S01__a__S01__mediante_met_terminate,0.062,false
transition__S10__a__S04__mediante_met_modify,0.04,false
transition__S05__a__S10__mediante_met_terminate,0.048,true
transition__S01__a__S02__mediante_met_terminate,0.057,false
transition__S10__a__S05__mediante_met_modify,0.064,false
transition__S06__a__S01__mediante_met_terminate,0.066,false
transition__S01__a__S03__mediante_met_terminate,0.05,false
transition__S10__a__S06__mediante_met_modify,0.05,false
transition__S06__a__S02__mediante_met_terminate,0.05,false
transition__S01__a__S04__mediante_met_terminate,0.048,false
transition__S10__a__S07__mediante_met_modify,0.053,false
transition__S06__a__S03__mediante_met_terminate,0.031,false
transition__S01__a__S05__mediante_met_terminate,0.072,false
transition__S10__a__S08__mediante_met_modify,0.05,false
transition__S06__a__S04__mediante_met_terminate,0.057,false
transition__S06__a__S05__mediante_met_terminate,0.032,false
transition__S10__a__S09__mediante_met_modify,0.039,false
transition__S01__a__S06__mediante_met_terminate,0.053,false
transition__S06__a__S06__mediante_met_terminate,0.017,false
transition__S10__a__S10__mediante_met_modify,0.057,false
transition__S06__a__S07__mediante_met_terminate,0.044,false
transition__S01__a__S07__mediante_met_terminate,0.055,false
transition__S10__a__S01__mediante_met_makeOffer,0.041,false
transition__S06__a__S08__mediante_met_terminate,0.051,false
transition__S01__a__S08__mediante_met_terminate,0.05,false
