Transition, Time (secs), Satisfiable
blue_transition__S05__a__S06__mediante_met_terminate,0.031,true
blue_transition__S04__a__S06__mediante_met_terminate,0.031,true
blue_transition__S01__a__S02__mediante_met_beginReviewProcess,0.031,true
blue_transition__S04__a__S03__mediante_met_rejectSharingRequest,0.015,true
blue_transition__S00__a__S01__mediante_met_constructor,0.171,true
blue_transition__S05__a__S03__mediante_met_revokeAccessFromThirdParty,0.031,true
blue_transition__S03__a__S04__mediante_met_requestLockerAccess,0.046,true
blue_transition__S03__a__S05__mediante_met_shareWithThirdParty,1.265,true
blue_transition__S02__a__S03__mediante_met_uploadDocuments,0.265,false
blue_transition__S03__a__S06__mediante_met_terminate,0.031,true
blue_transition__S05__a__S03__mediante_met_releaseLockerAccess,0.015,true
blue_transition__S04__a__S05__mediante_met_acceptSharingRequest,0.031,true

