Transition, Time (secs), Satisfiable
transition__S06__a__S01__mediante_met_beginReviewProcess,0.065,false
transition__S00__a__S01__mediante_met_constructor,0.046,true
transition__S03__a__S01__mediante_met_beginReviewProcess,0.046,false
transition__S00__a__S02__mediante_met_constructor,0.031,false
transition__S03__a__S02__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S02__mediante_met_beginReviewProcess,0.078,false
transition__S00__a__S03__mediante_met_constructor,0.046,false
transition__S00__a__S04__mediante_met_constructor,0.015,false
transition__S03__a__S03__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S03__mediante_met_beginReviewProcess,0.062,false
transition__S00__a__S05__mediante_met_constructor,0.049,false
transition__S03__a__S04__mediante_met_beginReviewProcess,0.034,false
transition__S06__a__S04__mediante_met_beginReviewProcess,0.018,false
transition__S06__a__S05__mediante_met_beginReviewProcess,0.015,false
transition__S00__a__S06__mediante_met_constructor,0.031,false
transition__S01__a__S01__mediante_met_beginReviewProcess,0.032,false
transition__S06__a__S06__mediante_met_beginReviewProcess,0.048,false
transition__S03__a__S05__mediante_met_beginReviewProcess,0.063,false
transition__S01__a__S02__mediante_met_beginReviewProcess,0.031,true
transition__S06__a__S01__mediante_met_uploadDocuments,0.062,false
transition__S03__a__S06__mediante_met_beginReviewProcess,0.062,false
transition__S01__a__S03__mediante_met_beginReviewProcess,0.046,false
transition__S04__a__S01__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S02__mediante_met_uploadDocuments,0.046,false
transition__S01__a__S04__mediante_met_beginReviewProcess,0.046,false
transition__S04__a__S02__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S03__mediante_met_uploadDocuments,0.046,false
transition__S04__a__S03__mediante_met_beginReviewProcess,0.015,false
transition__S01__a__S05__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S04__mediante_met_uploadDocuments,0.031,false
transition__S04__a__S04__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S05__mediante_met_uploadDocuments,0.031,false
transition__S01__a__S06__mediante_met_beginReviewProcess,0.062,false
