Transition, Time (secs), Satisfiable
transition__S06__a__S01__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S02__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S03__mediante_met_beginReviewProcess,0.041,false
transition__S03__a__S01__mediante_met_beginReviewProcess,0.088,false
transition__S00__a__S01__mediante_met_constructor,0.015,true
transition__S06__a__S04__mediante_met_beginReviewProcess,0.046,false
transition__S00__a__S02__mediante_met_constructor,0.046,false
transition__S03__a__S02__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S05__mediante_met_beginReviewProcess,0.031,false
transition__S00__a__S03__mediante_met_constructor,0.031,false
transition__S03__a__S03__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S06__mediante_met_beginReviewProcess,0.046,false
transition__S00__a__S04__mediante_met_constructor,0.046,false
transition__S03__a__S04__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S01__mediante_met_uploadDocuments,0.031,false
transition__S03__a__S05__mediante_met_beginReviewProcess,0.015,false
transition__S00__a__S05__mediante_met_constructor,0.046,false
transition__S06__a__S02__mediante_met_uploadDocuments,0.031,false
transition__S03__a__S06__mediante_met_beginReviewProcess,0.031,false
transition__S00__a__S06__mediante_met_constructor,0.031,false
transition__S06__a__S03__mediante_met_uploadDocuments,0.062,false
transition__S04__a__S01__mediante_met_beginReviewProcess,0.046,false
transition__S01__a__S01__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S04__mediante_met_uploadDocuments,0.015,false
transition__S06__a__S05__mediante_met_uploadDocuments,0.015,false
transition__S04__a__S02__mediante_met_beginReviewProcess,0.046,false
transition__S01__a__S02__mediante_met_beginReviewProcess,0.062,true
transition__S06__a__S06__mediante_met_uploadDocuments,0.031,false
transition__S04__a__S03__mediante_met_beginReviewProcess,0.031,false
transition__S01__a__S03__mediante_met_beginReviewProcess,0.046,false
transition__S06__a__S01__mediante_met_shareWithThirdParty,0.062,false
transition__S04__a__S04__mediante_met_beginReviewProcess,0.062,false
transition__S01__a__S04__mediante_met_beginReviewProcess,0.031,false
transition__S01__a__S05__mediante_met_beginReviewProcess,0.015,false
transition__S06__a__S02__mediante_met_shareWithThirdParty,0.031,false
transition__S04__a__S05__mediante_met_beginReviewProcess,0.031,false
transition__S01__a__S06__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S03__mediante_met_shareWithThirdParty,0.062,false
transition__S04__a__S06__mediante_met_beginReviewProcess,0.062,false
transition__S02__a__S01__mediante_met_beginReviewProcess,0.062,false
transition__S06__a__S04__mediante_met_shareWithThirdParty,0.031,false
transition__S06__a__S05__mediante_met_shareWithThirdParty,0.015,false
transition__S05__a__S01__mediante_met_beginReviewProcess,0.046,false
transition__S02__a__S02__mediante_met_beginReviewProcess,0.046,false
transition__S05__a__S02__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S06__mediante_met_shareWithThirdParty,0.046,false
transition__S02__a__S03__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S01__mediante_met_acceptSharingRequest,0.031,false
transition__S02__a__S04__mediante_met_beginReviewProcess,0.036,false
transition__S05__a__S03__mediante_met_beginReviewProcess,0.052,false
transition__S06__a__S02__mediante_met_acceptSharingRequest,0.021,false
transition__S06__a__S03__mediante_met_acceptSharingRequest,0.015,false
transition__S06__a__S04__mediante_met_acceptSharingRequest,0.015,false
transition__S02__a__S05__mediante_met_beginReviewProcess,0.046,false
transition__S05__a__S04__mediante_met_beginReviewProcess,0.062,false
transition__S06__a__S05__mediante_met_acceptSharingRequest,0.031,false
transition__S05__a__S05__mediante_met_beginReviewProcess,0.031,false
transition__S06__a__S06__mediante_met_acceptSharingRequest,0.031,false
transition__S02__a__S06__mediante_met_beginReviewProcess,0.062,false
transition__S06__a__S01__mediante_met_rejectSharingRequest,0.046,false
transition__S05__a__S06__mediante_met_beginReviewProcess,0.046,false
transition__S01__a__S01__mediante_met_uploadDocuments,0.046,false
transition__S03__a__S01__mediante_met_uploadDocuments,0.031,false
transition__S01__a__S02__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S02__mediante_met_rejectSharingRequest,0.062,false
transition__S03__a__S02__mediante_met_uploadDocuments,0.046,false
transition__S01__a__S03__mediante_met_uploadDocuments,0.046,false
transition__S03__a__S03__mediante_met_uploadDocuments,0.031,false
transition__S01__a__S04__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S03__mediante_met_rejectSharingRequest,0.062,false
transition__S03__a__S04__mediante_met_uploadDocuments,0.031,false
transition__S01__a__S05__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S04__mediante_met_rejectSharingRequest,0.031,false
transition__S03__a__S05__mediante_met_uploadDocuments,0.046,false
transition__S01__a__S06__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S05__mediante_met_rejectSharingRequest,0.046,false
transition__S02__a__S01__mediante_met_uploadDocuments,0.031,false
transition__S03__a__S06__mediante_met_uploadDocuments,0.046,false
transition__S06__a__S06__mediante_met_rejectSharingRequest,0.031,false
transition__S02__a__S02__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S01__mediante_met_requestLockerAccess,0.031,false
transition__S04__a__S01__mediante_met_uploadDocuments,0.06,false
transition__S02__a__S03__mediante_met_uploadDocuments,0.044,true
transition__S06__a__S02__mediante_met_requestLockerAccess,0.044,false
transition__S04__a__S02__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S03__mediante_met_requestLockerAccess,0.046,false
transition__S02__a__S04__mediante_met_uploadDocuments,0.078,false
transition__S04__a__S03__mediante_met_uploadDocuments,0.046,false
transition__S06__a__S04__mediante_met_requestLockerAccess,0.093,false
transition__S04__a__S04__mediante_met_uploadDocuments,0.093,false
transition__S02__a__S05__mediante_met_uploadDocuments,0.234,false
transition__S06__a__S05__mediante_met_requestLockerAccess,0.171,false
transition__S04__a__S05__mediante_met_uploadDocuments,0.171,false
transition__S06__a__S06__mediante_met_requestLockerAccess,0.044,false
transition__S02__a__S06__mediante_met_uploadDocuments,0.059,false
transition__S04__a__S06__mediante_met_uploadDocuments,0.091,false
transition__S06__a__S01__mediante_met_releaseLockerAccess,0.109,false
transition__S05__a__S01__mediante_met_uploadDocuments,0.078,false
transition__S06__a__S02__mediante_met_releaseLockerAccess,0.046,false
transition__S01__a__S01__mediante_met_shareWithThirdParty,0.156,false
transition__S05__a__S02__mediante_met_uploadDocuments,0.031,false
transition__S01__a__S02__mediante_met_shareWithThirdParty,0.031,false
transition__S06__a__S03__mediante_met_releaseLockerAccess,0.046,false
transition__S05__a__S03__mediante_met_uploadDocuments,0.031,false
transition__S06__a__S04__mediante_met_releaseLockerAccess,0.021,false
