Transition, Time (secs), Satisfiable
blue_transition__S02__a__S02__mediante_met_transferResponsibility,0.109,false
blue_transition__S02__a__S02__mediante_met_ingestTelemetry,16.372,true
blue_transition__S02__a__S04__mediante_met_ingestTelemetry,16.587,true
blue_transition__S00__a__S01__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S01__mediante_met_constructor,600.05,false
blue_transition__S01__a__S01__mediante_met_ingestTelemetry,17.807,true
blue_transition__S01__a__S04__mediante_met_ingestTelemetry,19.036,true
blue_transition__S01__a__S02__mediante_met_transferResponsibility,0.078,false
blue_transition__S02__a__S03__mediante_met_complete,0.093,true

