Transition, Time (secs), Satisfiable
transition__S00__a__S01__mediante_met_constructor,0.066,true
transition__S00__a__S02__mediante_met_constructor,0.046,false
transition__S02__a__S01__mediante_met_ingestTelemetry,0.062,false
transition__S04__a__S01__mediante_met_ingestTelemetry,0.093,false
transition__S00__a__S03__mediante_met_constructor,0.062,false
transition__S00__a__S04__mediante_met_constructor,0.062,false
transition__S04__a__S02__mediante_met_ingestTelemetry,0.093,false
transition__S02__a__S02__mediante_met_ingestTelemetry,0.125,true
transition__S02__a__S03__mediante_met_ingestTelemetry,0.046,false
transition__S04__a__S03__mediante_met_ingestTelemetry,0.077,false
transition__S01__a__S01__mediante_met_ingestTelemetry,0.108,true
transition__S02__a__S04__mediante_met_ingestTelemetry,0.078,true
transition__S04__a__S04__mediante_met_ingestTelemetry,0.083,false
transition__S01__a__S02__mediante_met_ingestTelemetry,0.052,false
transition__S03__a__S01__mediante_met_ingestTelemetry,0.068,false
transition__S01__a__S03__mediante_met_ingestTelemetry,0.031,false
transition__S04__a__S01__mediante_met_transferResponsibility,0.09,false
transition__S03__a__S02__mediante_met_ingestTelemetry,0.059,false
transition__S04__a__S02__mediante_met_transferResponsibility,0.031,false
transition__S01__a__S04__mediante_met_ingestTelemetry,0.09,true
transition__S03__a__S03__mediante_met_ingestTelemetry,0.078,false
transition__S01__a__S01__mediante_met_transferResponsibility,0.062,false
transition__S04__a__S03__mediante_met_transferResponsibility,0.078,false
transition__S03__a__S04__mediante_met_ingestTelemetry,0.059,false
transition__S01__a__S02__mediante_met_transferResponsibility,0.074,true
transition__S04__a__S04__mediante_met_transferResponsibility,0.074,false
transition__S02__a__S01__mediante_met_transferResponsibility,0.078,false
transition__S01__a__S03__mediante_met_transferResponsibility,0.046,false
transition__S04__a__S01__mediante_met_complete,0.066,false
transition__S01__a__S04__mediante_met_transferResponsibility,0.05,false
transition__S02__a__S02__mediante_met_transferResponsibility,0.05,true
transition__S02__a__S03__mediante_met_transferResponsibility,0.031,false
transition__S04__a__S02__mediante_met_complete,0.078,false
transition__S01__a__S01__mediante_met_complete,0.078,false
transition__S02__a__S04__mediante_met_transferResponsibility,0.046,false
transition__S04__a__S03__mediante_met_complete,0.046,false
transition__S01__a__S02__mediante_met_complete,0.046,false
transition__S03__a__S01__mediante_met_transferResponsibility,0.062,false
transition__S04__a__S04__mediante_met_complete,0.065,false
transition__S01__a__S03__mediante_met_complete,0.049,false
transition__S01__a__S04__mediante_met_complete,0.031,false
transition__S03__a__S02__mediante_met_transferResponsibility,0.065,false
transition__S03__a__S03__mediante_met_transferResponsibility,0.031,false
transition__S03__a__S04__mediante_met_transferResponsibility,0.031,false
transition__S02__a__S01__mediante_met_complete,0.046,false
transition__S02__a__S02__mediante_met_complete,0.031,false
transition__S02__a__S03__mediante_met_complete,0.067,true
transition__S02__a__S04__mediante_met_complete,0.031,false
transition__S03__a__S01__mediante_met_complete,0.031,false
transition__S03__a__S02__mediante_met_complete,0.031,false
transition__S03__a__S03__mediante_met_complete,0.031,false
transition__S03__a__S04__mediante_met_complete,0.046,false

