Transition, Time (secs), Satisfiable
blue_transition__S01__a__S02__mediante_met_transferResponsibility,0.135,false
blue_transition__S00__a__S01__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S01__mediante_met_constructor,600.011,false
blue_transition__S02__a__S02__mediante_met_ingestTelemetry,17.211,true
blue_transition__S02__a__S04__mediante_met_ingestTelemetry,24.42,true
blue_transition__S01__a__S01__mediante_met_ingestTelemetry,19.767,true
blue_transition__S01__a__S04__mediante_met_ingestTelemetry,21.044,true
blue_transition__S02__a__S03__mediante_met_complete,0.125,true
blue_transition__S02__a__S02__mediante_met_transferResponsibility,0.249,false

