Transition, Time (secs), Satisfiable
transition__S00__a__S01__mediante_met_constructor,0.048,true
transition__S04__a__S01__mediante_met_ingestTelemetry,0.062,false
transition__S02__a__S01__mediante_met_ingestTelemetry,0.078,false
transition__S00__a__S02__mediante_met_constructor,0.078,false
transition__S04__a__S02__mediante_met_ingestTelemetry,0.093,false
transition__S00__a__S03__mediante_met_constructor,0.14,false
transition__S02__a__S02__mediante_met_ingestTelemetry,0.187,true
transition__S04__a__S03__mediante_met_ingestTelemetry,0.187,false
transition__S00__a__S04__mediante_met_constructor,0.125,false
transition__S02__a__S03__mediante_met_ingestTelemetry,0.109,false
transition__S04__a__S04__mediante_met_ingestTelemetry,0.14,false
transition__S01__a__S01__mediante_met_ingestTelemetry,0.14,true
transition__S02__a__S04__mediante_met_ingestTelemetry,0.156,true
transition__S04__a__S01__mediante_met_transferResponsibility,0.078,false
transition__S03__a__S01__mediante_met_ingestTelemetry,0.093,false
transition__S01__a__S02__mediante_met_ingestTelemetry,0.109,false
transition__S04__a__S02__mediante_met_transferResponsibility,0.078,false
transition__S03__a__S02__mediante_met_ingestTelemetry,0.093,false
transition__S01__a__S03__mediante_met_ingestTelemetry,0.109,false
transition__S04__a__S03__mediante_met_transferResponsibility,0.109,false
transition__S03__a__S03__mediante_met_ingestTelemetry,0.125,false
transition__S01__a__S04__mediante_met_ingestTelemetry,0.203,true
transition__S04__a__S04__mediante_met_transferResponsibility,0.234,false
transition__S03__a__S04__mediante_met_ingestTelemetry,0.14,false
transition__S01__a__S01__mediante_met_transferResponsibility,0.078,false
transition__S02__a__S01__mediante_met_transferResponsibility,0.078,false
transition__S04__a__S01__mediante_met_complete,0.078,false
transition__S01__a__S02__mediante_met_transferResponsibility,0.109,true
transition__S04__a__S02__mediante_met_complete,0.093,false
transition__S02__a__S02__mediante_met_transferResponsibility,0.14,true
transition__S01__a__S03__mediante_met_transferResponsibility,0.109,false
transition__S04__a__S03__mediante_met_complete,0.14,false
transition__S02__a__S03__mediante_met_transferResponsibility,0.171,false
transition__S01__a__S04__mediante_met_transferResponsibility,0.187,false
transition__S01__a__S01__mediante_met_complete,0.09,false
transition__S04__a__S04__mediante_met_complete,0.215,false
transition__S02__a__S04__mediante_met_transferResponsibility,0.168,false
transition__S01__a__S02__mediante_met_complete,0.031,false
transition__S03__a__S01__mediante_met_transferResponsibility,0.031,false
transition__S01__a__S03__mediante_met_complete,0.093,false
transition__S03__a__S02__mediante_met_transferResponsibility,0.062,false
transition__S01__a__S04__mediante_met_complete,0.046,false
transition__S03__a__S03__mediante_met_transferResponsibility,0.125,false
transition__S03__a__S04__mediante_met_transferResponsibility,0.072,false
transition__S02__a__S01__mediante_met_complete,0.093,false
transition__S02__a__S02__mediante_met_complete,0.078,false
transition__S02__a__S03__mediante_met_complete,0.125,true
transition__S02__a__S04__mediante_met_complete,0.062,false
transition__S03__a__S01__mediante_met_complete,0.093,false
transition__S03__a__S02__mediante_met_complete,0.093,false
transition__S03__a__S03__mediante_met_complete,0.109,false
transition__S03__a__S04__mediante_met_complete,0.109,false

